Title,Latitude,Longitude,Address,Category,Status,Completion Date,Storeys,Height in ft
Toronto City Hall and Nathan Phillips Square,43.6536032,-79.38400547,"100 Queen St W, Toronto",Public Space,Complete,"Fall, 2012",0,0
Richmond Adelaide Centre: 111 Richmond West,43.6501833,-79.3840405,"111 Richmond Street West, Toronto","Office, Retail",Complete,2012,16,0
CHAZ Yorkville Condos,43.668964,-79.384105,"45 Charles Street East, Toronto",Condo,Under Construction,2015,47,495
"Livmore, The",43.6584283,-79.38422655,"55 Gerrard West, Toronto","Rental, Retail",Under Construction,0,43,455
"Livmore, The",43.6584283,-79.38422655,"55 Gerrard West, Toronto","Rental, Retail",Under Construction,0,43,455
160 Front West ,43.6450519,-79.3843374,"156 Front Street West, Toronto","Office, Retail",Under Construction,0,46,787
Residences at the RCMI Condos,43.6470398,-79.384455,"426 University Avenue, Toronto","Condo, Institutional",Complete,2013,42,0
Bloor Street Neighbourhood Condos,43.6695584,-79.3846569,"35 Hayden Street, Toronto",Condo,Complete,2010,32,0
Bloor Street Revitalization,43.6695584,-79.3846569,"Bloor St W & Bay St, Toronto",Public Space,Complete,2011,0,0
Karma Condos,43.66174218,-79.38478091,"21 Grenville St, Toronto","Condo, Retail",Complete,2016,50,544
8 Gloucester Street,43.6667198,-79.384883,"8 Gloucester St, Toronto","Condo, Retail",Pre-Construction,0,34,0
"Clover on Yonge, The",43.66649,-79.385095,"599 Yonge St, Toronto","Condo, Office, Retail",Under Construction,0,44,485
180 Wellington West,43.6464799,-79.3851315,"180 Wellington St W, Toronto",Office,Complete,2013,12,0
Bayview Village Redevelopment,43.76913195,-79.38519041,"2901 Bayview Avenue, Toronto","Public Space, Residential, Retail",Pre-Construction,0,33,0
Ïce Condominiums at York Centre,43.6429805,-79.38526305,"York and Bremner, Toronto",Condo,Under Construction,0,67,0
NY Place,43.76562273,-79.38533654,"17 Kenaston Gdns, Toronto","Condo, Rental",Complete,2012,8,0
33 Bloor East,43.669957,-79.385356,"33 Bloor St E, Toronto","Office, Retail",Under Construction,0,17,0
Wellesley on the Park,43.664635,-79.385478,"11 Wellesley St W, Toronto","Condo, Retail",Under Construction,0,60,637
Five St. Joseph,43.66585,-79.385535,"5 St. Joseph Street, Toronto","Condo, Retail",Complete,2015,48,528
Four Seasons Centre for the Performing Arts,43.65059655,-79.38553675,"145 Queen St W, Toronto",Institutional,Complete,2006,5,0
One Bloor East,43.6707855,-79.3856867,"1 Bloor Street East, Toronto","Condo, Retail",Under Construction,2015,76,844
Lumiere Condominiums,43.660198,-79.385863,"770 Bay Street, Toronto",Condo,Complete,2011,32,0
Lotus Condos,43.7661601,-79.3858635,"3-15 Kenaston Gardens, Toronto","Condo, Retail",Complete,"Summer, 2018",12,138
Murano,43.661687,-79.385971,"825 Bay Street, Toronto","Condo, Retail",Complete,2010,35,0
Living Shangri-La Toronto,43.6489079,-79.3860758,"180 University Ave, Toronto","Condo, Hotel",Complete,2012,66,704
Church of Scientology,43.6677734,-79.3860953,"696 Yonge Street, Toronto",Office,Pre-Construction,0,8,0
728 Yonge,43.6685579,-79.3862638,"728 Yonge Street, Toronto","Office, Retail",Under Construction,0,3,0
Greenwood College School Expansion,43.7001286,-79.38632479,"443 Mt Pleasant Rd, Toronto ",Institutional,Under Construction,0,0,0
Burano,43.6622721,-79.3865362,"832 Bay St., Toronto",Condo,Complete,2012,48,0
Fabrik Condos,43.6500202,-79.3865866,"431 Richmond St. W. , Toronto",Condo,Pre-Construction,2015,17,0
Rush Condos,43.6500202,-79.3865866,"520 Richmond St W, Toronto",Condo,Pre-Construction,0,15,172
Nicholas Residences,43.667731,-79.386616,"75 St Nicholas Street, Toronto",Condo,Under Construction,2014,35,0
"Milan Condominium, The",43.6728922,-79.386624,"825 Church St, Toronto",Condo,Complete,2014,37,0
Milton's Bronte West Condominiums,43.6728922,-79.386624,"Bronte Street & Derry Road, Milton",Condo,Pre-Construction,2020,6,0
Minto Long Branch,43.6728922,-79.386624,"3600 Lake Shore West, Toronto","Condo, Retail, Townhouse",Pre-Construction,2016,12,0
Minto Westside,43.6728922,-79.386624,"Bathurst St & Front St W, Toronto","Condo, Retail",Under Construction,0,20,0
100 Simcoe,43.648505,-79.386687,"100 Simcoe St., Toronto","Office, Residential",Pre-Construction,0,59,0
Women's College Hospital,43.66150333,-79.386738,"52 Grenville Street, Toronto",Institutional,Complete,2015,10,0
368 Eglinton Avenue East,43.7094424,-79.3868348,"368 Eglinton Avenue East, Toronto ","Rental, Residential",Pre-Construction,0,11,0
368-386 Eglinton Avenue East,43.7094424,-79.3868348,"368 Eglinton Avenue East, Toronto",Rental,Pre-Construction,0,11,112
771 Yonge Street,43.67117,-79.387038,"771 Yonge St, Toronto","Condo, Retail",Pre-Construction,0,26,0
"CN Tower: Entry Pavilion, Plaza, Renos",43.6425637,-79.38708718,"CN Tower, Toronto",Institutional,Complete,0,0,0
"Britt Condos, The",43.66455576,-79.38712488,"955 Bay Street, Toronto","Condo, Rental, Retail",Under Construction,0,41,466
Crosstown LRT: Oakwood Station,43.653963,-79.387207,", Toronto",Public Space,Pre-Construction,2021,0,0
Waterfront Innovation Centre,43.653963,-79.387207,", Toronto","Office, Retail",Pre-Construction,0,12,0
WaterGarden,43.653963,-79.387207,"Yonge St. & Arnold Ave., Thornhill",Condo,Under Construction,0,6,0
Waterlink at Pier 27,43.653963,-79.387207,"Queens Quay & Yonge St., Toronto",Condo,Under Construction,"Winter, 2013",14,0
Theatre Park,43.6473388,-79.3872507,"224 King St W, Toronto",Condo,Complete,2015,47,515
"Uptown Residences, The",43.6694927,-79.38741455,"35 Balmuto St., Toronto",Condo,Complete,2011,48,0
217 Adelaide West,43.648324,-79.3874251,"217 Adelaide St W, Toronto","Hotel, Office, Retail",Pre-Construction,0,25,0
411 Church,43.6728646,-79.3874277,"411 Church St., Toronto","Condo, Retail",Under Construction,2019,38,0
411 Church,43.6728646,-79.3874277,"411 Church St., Toronto","Condo, Retail",Under Construction,2019,38,0
Alter ,43.6728646,-79.3874277,"355 Church Street, Toronto","Condo, Office, Retail",Under Construction,0,33,0
CrystalBlu Condos,43.6691531,-79.3874975,"21 Balmuto Street, Toronto",Condo,Complete,2011,36,0
150 Pearl Street ,43.6479404,-79.38752175,"150 Pearl Street, Toronto","Condo, Office, Retail",Pre-Construction,0,59,619
Eight Cumberland,43.671126,-79.3875666,"8 Cumberland Street, Toronto","Condo, Retail",Under Construction,0,51,557
Mirvish+Gehry Toronto,43.6473883,-79.38758482,"260 King St W, Toronto","Condo, Hotel, Institutional, Office, Retail",Pre-Construction,0,91,0
18 Yorkville Condos,43.6719852,-79.3878498,"18 Yorkville Avenue, Toronto","Condo, Retail",Complete,2008,36,0
276-290 Merton,43.69797103,-79.38786128,"276-290 Merton Street, Toronto",Condo,Pre-Construction,0,16,203
1 Scollard,43.6724972,-79.3878839,"874 Yonge St, Toronto",Condo,Pre-Construction,0,51,587
1Thousand Bay,43.665406,-79.3879149,"1000 Bay Street, Toronto","Condo, Retail",Under Construction,"Late, 2015",32,344
The United BLDG,43.6551681,-79.3879846,"481 University Avenue, Toronto","Condo, Office, Retail",Pre-Construction,0,55,607
1075 Bay,43.6673916,-79.3882215,"1075 Bay Street, Toronto","Condo, Office, Retail",Pre-Construction,0,66,781
Eaton Centre (Ongoing Renewal),43.6548199,-79.3882736,"1 Dundas St W, Toronto","Office, Public Space, Retail",Complete,0,0,0
Cru Condos,43.6716596,-79.3882999,"11 Yorkville Avenue, Toronto","Condo, Office, Rental, Retail",Pre-Construction,0,62,0
50 Bloor Street West,43.6703594,-79.3883606,"50 Bloor Street West, Toronto","Condo, Office, Retail",Pre-Construction,0,70,0
Studio and Studio2 on Richmond,43.6495224,-79.3884112,"199 Richmond St W, Toronto","Condo, Institutional, Retail",Complete,2015,41,430
No. 210 Residences on Simcoe,43.652504,-79.388429,"210 Simcoe Street, Toronto",Condo,Under Construction,0,25,0
Frank Stollery Parkette,43.67395,-79.388433,"880 Yonge St, Toronto",Public Space,Pre-Construction,0,0,0
906 Yonge Street,43.6737954,-79.3884794,"906 Yonge Street, Toronto","Condo, Hotel",Pre-Construction,0,30,0
908 St. Clair West,43.6737954,-79.3884794,"St. Clair Avenue West and Alberta Avenue, Toronto","Condo, Retail",Pre-Construction,0,12,0
19 Duncan,43.648121,-79.388504,"19 Duncan St, Toronto","Office, Rental, Retail",Pre-Construction,"Late, 2021",58,612
Artists' Alley,43.6534923,-79.3885214,"234 Simcoe St, Toronto","Office, Residential, Retail",Pre-Construction,0,39,414
14 Duncan,43.6476195,-79.3885695,"14 Duncan Street, Toronto","Office, Residential, Retail",Pre-Construction,0,48,0
305 Roehampton,43.709546,-79.38860486,"305 Roehampton Avenue, Toronto",Rental,Complete,2015,14,0
TeaGarden Condos,43.7682164,-79.3886548,"2 Teagarden Court, Toronto",Condo,Pre-Construction,2019,12,0
Manulife Centre Podium and Streetscape Renewal,43.6696176,-79.3887161,"55 Bloor St W, Toronto",Retail,Under Construction,2019,2,0
Queens Quay & Water's Edge Revitalization,43.638399,-79.3888558,"100 Queens Quay West, Toronto",Public Space,Under Construction,"Spring, 2015",0,0
500 Sheppard East,43.7668526,-79.38893534,"500 Sheppard Ave. East, Toronto","Condo, Office, Retail",Pre-Construction,0,25,0
"Residences of 488 University Avenue, The",43.6550526,-79.3890079,"480 University Avenue, Toronto","Condo, Office",Under Construction,0,55,0
Ripley's Aquarium of Canada,43.6404688,-79.389032,"258 Bremner Blvd., Toronto",Retail,Complete,2014,2,0
95 St Joseph,43.6651345,-79.389082,"95 St Joseph St, Toronto","Institutional, Residential, Retail",Pre-Construction,0,39,423
733 Mt Pleasant,43.707148,-79.38931699,"733 Mt Pleasant Rd, Toronto","Condo, Retail",Pre-Construction,0,9,109
300 Front Street West,43.6439847,-79.3893423,"300 Front Street West, Toronto","Condo, Public Space",Under Construction,2014,49,512
250 Dundas West,43.6547501,-79.38939,"250 Dundas Street W., Toronto","Office, Rental, Retail",Pre-Construction,0,52,0
Hill And Dale Residences,43.6776809,-79.38940036,"1027 Yonge Street, Toronto",Condo,Complete,2018,6,0
Linea on Bayview,43.7722413,-79.389491,"2956 Bayview Avenue, Toronto",Townhouse,Complete,2011,3,0
Link Condos + Towns,43.7722413,-79.389491,"Dundas St & Sutton Dr, Burlington",Condo,Pre-Construction,0,6,0
Briton House Expansion,43.7062049,-79.389525,"700 Mount Pleasant Road, Toronto","Condo, Rental, Residential",Pre-Construction,0,25,291
263 Adelaide Street West,43.6478451,-79.3896669,"263 Adelaide Street West, Toronto",Rental,Pre-Construction,0,47,0
"Mercer, The",43.6459848,-79.3897372,"8 Mercer Street, Toronto","Condo, Retail",Under Construction,2015,33,366
"Yorkville Condominiums, The",43.67336122,-79.38978215,"20 McMurrich Street, Toronto",Condo,Complete,0,31,0
Mount Sinai Hospital Renewal,43.657602,-79.38983,"600 University Ave, Toronto",Institutional,Under Construction,"Early, 2015",0,0
Cumberland Square,43.6654234,-79.38987889,"2 Bloor West, Toronto","Condo, Public Space, Retail",Pre-Construction,0,66,0
Cumberland Square,43.6654234,-79.38987889,"2 Bloor West, Toronto","Condo, Public Space, Retail",Pre-Construction,0,66,0
70 St. Mary Street ,43.66741565,-79.38990794,"70 St. Mary Street, Toronto","Condo, Institutional",Pre-Construction,0,40,0
700 Bay Street,43.66741565,-79.38990794,"700 Bay Street and 77 Gerrard Street West, Toronto",Rental,Under Construction,0,32,0
"James at Scrivener Square, The",43.6805337,-79.3899307,"5 Scrivener Square, Toronto ","Public Space, Rental, Retail",Pre-Construction,0,21,0
86 John Street,43.6470792,-79.3899331,"86 John Street, Toronto",Retail,Pre-Construction,0,8,0
Four Seasons Hotel and Private Residences Toronto,43.6715691,-79.389953,"60 Yorkville Av, Toronto","Condo, Hotel, Retail",Complete,2012,52,669
80 Bloor Street West,43.669778,-79.389973,"80 Bloor Street West, Toronto","Condo, Office, Retail",Pre-Construction,0,66,0
33 Yorkville Avenue,43.6713,-79.390004,"37 Yorkville Avenue, Toronto","Condo, Retail",Under Construction,0,64,698
33 Yorkville Avenue,43.6713,-79.390004,"37 Yorkville Avenue, Toronto","Condo, Retail",Under Construction,0,64,698
"The Quay, Tower Three (was Maple Leaf Quay)",43.6381015,-79.3900563,"370 Queens Quay West, Toronto","Rental, Retail",Pre-Construction,0,20,218
The Renaissance Condominiums at the Neighbourhoods of Oak Park,43.6381015,-79.3900563,"Trafalgar Rd & Dundas St E, Oakville ",Condo,Pre-Construction,2015,5,0
50 Scollard,43.67231874,-79.39005807,"50 Scollard Street, Toronto",Condo,Pre-Construction,0,42,0
50 Scollard,43.67231874,-79.39005807,"50 Scollard Street, Toronto",Condo,Pre-Construction,0,42,0
35 McCaul Street,43.6512965,-79.390062,"35 McCaul Street, Toronto","Office, Retail",Pre-Construction,0,7,86
7 St. Thomas,43.668672,-79.390074,"1-9 Sultan Street, Toronto","Office, Retail",Complete,2017,9,127
Crosstown LRT: Mount Pleasant Station,43.7084166,-79.3901348,"Mount Pleasant and Eglinton, Toronto","Public Space, Transit",Pre-Construction,2021,1,0
121 Portland,43.6478699,-79.3901628,"502 Adelaide St W, Toronto","Condo, Retail",Pre-Construction,0,14,0
128 Hazelton Avenue,43.6478699,-79.3901628,"128 Hazleton Ave, Toronto",Condo,Pre-Construction,0,9,124
U of T: Partnerships in Innovation and Entrepreneurialship Complex,43.660007,-79.390181,"112 College Street, Toronto",Institutional,Pre-Construction,0,13,213
305-319 King West,43.6461642,-79.3903232,"305 King St W, Toronto","Condo, Office, Retail",Pre-Construction,0,48,515
Royal Ontario Museum,43.6599803,-79.3903686,"110 Queen's Park, Toronto",Institutional,Complete,0,0,0
MaRS Centre Phase 2,43.6592201,-79.390406,"University Ave and College Street, Toronto","Institutional, Office",Complete,2013,20,370
Nobu Residences Toronto ,43.6455516,-79.390434,"15 Mercer St, Toronto","Condo, Hotel, Retail",Under Construction,0,45,514
400 Wellington West,43.6450081,-79.390471,"400 Wellington St. W., Toronto",Condo,Complete,2012,12,124
"Residences at The Ritz-Carlton, Toronto",43.6450081,-79.390471,"183 Wellington St W, Toronto","Condo, Hotel",Complete,2011,53,0
Form Condos,43.65170484,-79.39049283,"36 McCaul St, Toronto","Condo, Institutional",Under Construction,0,14,0
7 Labatt,43.667785,-79.390565,"7 Labatt St, Toronto","Condo, Residential, Retail",Pre-Construction,0,38,413
77 Charles West,43.667785,-79.390565,"77 Charles Street West, Toronto",Condo,Complete,2012,16,0
One St Thomas,43.6688809,-79.3905835,"1 St Thomas St, Toronto",Condo,Complete,2009,29,348
"Bond, The",43.647876,-79.390598,"290 Adelaide St W, Toronto",Condo,Under Construction,2017,42,455
808 Mt. Pleasant,43.7088577,-79.3906139,"808 Mt Pleasant Road, Toronto","Condo, Retail",Pre-Construction,0,44,486
David Thomson Gallery,43.6520293,-79.3906247,"60 McCaul St, Toronto",Institutional,Pre-Construction,0,0,0
"Shops of Summerhill, The",43.6801072,-79.3906272,"1099 Yonge Street, Toronto",Retail,Complete,2011,3,0
1128 Yonge,43.6792251,-79.3906428,"1128 Yonge St, Toronto","Office, Retail",Under Construction,"Late, 2016",5,0
Bungalow on Mercer,43.6457953,-79.3906665,"24 Mercer St, Toronto","Condo, Office",Pre-Construction,0,17,206
2 St. Thomas,43.668044,-79.39074427,"2 St. Thomas St., Toronto","Rental, Retail",Complete,"Late, 2017",26,264
TwentyOne Clairtrell,43.7681452,-79.3907804,"21 Clairtrell Road, Toronto",Condo,Complete,2012,7,0
292 Dundas West,43.6545131,-79.3910287,"292 Dundas St W, Toronto","Condo, Institutional, Office, Public Space, Retail",Pre-Construction,0,38,0
100 Davenport,43.6735878,-79.3910422,"100 Davenport Rd, Toronto","Condo, Office, Retail",Pre-Construction,0,39,467
"Florian, The",43.6735878,-79.3910422,"100 Davenport Road, Toronto",Condo,Complete,2013,25,0
1133 Yonge Street,43.68185985,-79.39109277,"1133 Yonge Street, Toronto","Office, Retail",Under Construction,"Spring, 2017",6,70
Trattoria Nervosa Expansion,43.671056,-79.391152,"75 Yorkville Avenue, Toronto",Retail,Pre-Construction,0,0,0
100 Yorkville at Bellair,43.6712943,-79.39116,"100 Yorkville Avenue, Toronto","Condo, Retail",Complete,2010,16,0
Rosehill Tower,43.6857897,-79.391166,"44 Jackes Avenue, Toronto",Rental,Pre-Construction,0,29,0
160 John Street,43.64969533,-79.39116867,"160 John Street, Toronto",Office,Pre-Construction,0,11,0
141 Davisville,43.6987924,-79.39118045,"141 Davisville Avenue, Toronto","Public Space, Rental",Pre-Construction,0,16,195
OCAD U: 100 McCaul,43.65295695,-79.39118406,"100 McCaul St, Toronto",Institutional,Pre-Construction,0,0,0
OCAD U: Rosalie Sharp Pavilion,43.654233,-79.391285,"115 McCaul Street, Toronto",Institutional,Pre-Construction,0,3,0
Maverick,43.6461594,-79.3913494,"329 King St W, Toronto","Condo, Rental, Retail",Pre-Construction,0,49,507
8-20 Widmer Street,43.64683817,-79.39140483,"10 Widmer Street, Toronto",Residential,Pre-Construction,0,56,600
180 John Street,43.6505795,-79.3916576,"180 John Street, Toronto",Office,Complete,0,7,0
Theatre District Residence & Riu Plaza Hotel,43.647503,-79.39166,"30 Widmer Street, Toronto","Condo, Retail",Under Construction,0,48,512
Theatre District Residence & Riu Plaza Hotel,43.647503,-79.39166,"30 Widmer Street, Toronto","Condo, Retail",Under Construction,0,48,512
Theatre District Residence & Riu Plaza Hotel,43.647503,-79.39166,"30 Widmer Street, Toronto","Condo, Retail",Under Construction,0,48,512
Bisha Hotel and Residences,43.6444703,-79.3916619,"56 Blue Jays Way, Toronto","Condo, Hotel",Under Construction,2017,44,482
Block 8 West Don Lands,43.6444703,-79.3916619,"125 Mill St @ Cooperage St, Toronto","Rental, Retail",Pre-Construction,0,26,294
Mirvish Village (Honest Ed's Redevelopment),43.6692137,-79.3917669,"581 Bloor St W, Toronto","Public Space, Rental, Retail",Under Construction,0,26,279
2002 Lake Shore West,43.705711,-79.391828,"2000 Lake Shore West, Toronto","Rental, Residential",Pre-Construction,0,26,0
71 Redpath Avenue,43.705711,-79.391828,"71 Redpath Avenue, Toronto",Rental,Pre-Construction,0,21,225
71 Redpath Avenue,43.705711,-79.391828,"71 Redpath Avenue, Toronto",Rental,Pre-Construction,0,21,225
Central Condos,43.648478,-79.3918784,"38 Widmer St., Toronto",Condo,Pre-Construction,0,47,0
Central Condos,43.648478,-79.3918784,"38 Widmer St., Toronto",Condo,Pre-Construction,0,47,0
Cinema Tower,43.648478,-79.3918784,"21-31 Widmer Street, Toronto",Condo,Under Construction,2014,43,468
83 Redpath Ave,43.70653715,-79.39194117,"83 Redpath Ave, Toronto",Condo,Complete,2010,21,0
Picasso Condos,43.648964,-79.391953,"318 Richmond St W, Toronto","Condo, Retail",Complete,0,39,422
"Bread Company, The",43.655925,-79.391987,"193 McCaul Street, Toronto","Condo, Retail",Pre-Construction,0,19,211
"Bread Company, The",43.655925,-79.391987,"193 McCaul Street, Toronto","Condo, Retail",Pre-Construction,0,19,211
155 Balliol,43.69795725,-79.39211125,"155 Balliol Street, Toronto","Public Space, Rental",Pre-Construction,0,24,276
King Blue by Greenland,43.645993,-79.392132,"355 King St W, Toronto","Condo, Hotel, Institutional, Retail",Under Construction,2019,48,511
Globe and Mail Headquarters: Never-Built,43.6385407,-79.3921328,"6 Spadina Ave, Toronto",Office,Pre-Construction,0,18,0
Fly Condos,43.6438897,-79.3921862,"352 Front St W, Toronto",Condo,Complete,2013,24,0
101 Yorkville,43.67082263,-79.39226137,"101 Yorkville Avenue, Toronto",Retail,Pre-Construction,0,4,62
Grange Park,43.65214745,-79.39226499,"Grange Park, Toronto",Public Space,Under Construction,0,0,0
Yorkville Village: 102-108 Yorkville Avenue,43.67099813,-79.39232025,"102-108 Yorkville Avenue, Toronto",Retail,Pre-Construction,0,3,44
"Eglinton, The",43.7077986,-79.3923842,"161 Eglinton Ave. East, Toronto",Condo,Under Construction,2018,33,0
12° / 12 Degrees Condos,43.65060755,-79.39240482,"25 Beverley St, Toronto",Condo,Complete,2015,11,0
357 King West,43.645933,-79.392411,"357 King St W, Toronto","Condo, Rental, Retail",Under Construction,2022,42,486
357 King West,43.645933,-79.392411,"357 King St W, Toronto","Condo, Rental, Retail",Under Construction,2022,42,486
Arthur Meighen Building Rehabilitation,43.688348,-79.392427,"25-55 St Clair Avenue E, Toronto",Office,Under Construction,0,11,0
U of T: Goldring Student Centre at Victoria University,43.6676852,-79.3925309,"150 Charles St W, Toronto",Institutional,Complete,2013,3,0
388 King West,43.6461492,-79.3925399,"388 King St W, Toronto","Office, Retail",Pre-Construction,0,33,480
Line 5 Condos,43.71033215,-79.39257512,"117 Broadway Avenue, Toronto","Condo, Residential",Pre-Construction,0,36,374
Birch Avenue Townhomes,43.68126058,-79.39262328,"26 Birch Avenue, Toronto",Townhouse,Pre-Construction,0,4,57
87 Peter,43.647232,-79.39268,"87 Peter St, Toronto","Condo, Retail",Complete,0,49,0
330 Richmond,43.64874683,-79.39269297,"330 Richmond St W, Toronto",Condo,Under Construction,0,27,0
Peter Street Condominiums,43.64743483,-79.39270933,"338 Adelaide St W, Toronto","Condo, Retail",Complete,2014,40,426
Tableau Condominiums,43.6484012,-79.39272978,"117 Peter St., Toronto","Condo, Office",Complete,2014,36,0
Tango at Concord Park Place,43.6484012,-79.39272978,"Esther Shiner Blvd & Provost Dr, Toronto",Condo,Under Construction,2014,31,0
155 Redpath Condominiums,43.70881885,-79.39273848,"155 Redpath Avenue, Toronto",Condo,Complete,2017,34,395
1 Yorkville,43.6709599,-79.3927542,"1 Yorkville Ave, Toronto","Condo, Retail",Under Construction,0,58,601
"Jack Condos, The",43.685566,-79.3928,"1331 Yonge Street, Toronto","Condo, Retail",Under Construction,2018,11,0
Jack Layton Ferry Terminal and Harbour Square Park,43.685566,-79.3928,"Bay St. and Queens Quay, Toronto",Public Space,Pre-Construction,0,0,0
400 King West,43.6460451,-79.3929238,"400 King St W, Toronto","Condo, Retail",Pre-Construction,0,47,0
155 Cumberland and 130 Bloor Street West,43.66944705,-79.39293449,"155 Cumberland Ave, Toronto","Condo, Office",Complete,2010,21,291
"Bennett on Bayview, The",43.7899793,-79.3929389,"3237 Bayview Avenue , Toronto","Condo, Retail",Pre-Construction,0,12,141
Distinction Condos,43.705433,-79.393174,"11 Lillian St, Toronto",Condo,Pre-Construction,"Fall, 2019",19,173
1365 Yonge,43.686408,-79.39324,"1365 Yonge Street, Toronto","Residential, Retail",Pre-Construction,0,17,228
1376 Kingston Road,43.686408,-79.39324,"1376-1386 Kingston Road, Toronto",Condo,Pre-Construction,0,8,0
Carlyle Condos,43.648134,-79.39329308,"122 Peter St, Toronto",Condo,Pre-Construction,0,42,464
110 Broadway Avenue,43.71119575,-79.39332306,"110 Broadway Avenue, Toronto","Condo, Rental",Pre-Construction,0,28,387
QRC West (Queen Richmond Centre West),43.648449,-79.393414,"134 Peter St., Toronto","Office, Retail",Complete,"Mid, 2015",17,236
Peter and Adelaide,43.647447,-79.39344349,"350 Adelaide St W, Toronto","Condo, Public Space, Retail",Pre-Construction,0,47,500
Peter and Adelaide,43.647447,-79.39344349,"350 Adelaide St W, Toronto","Condo, Public Space, Retail",Pre-Construction,0,47,500
CityLights on Broadway,43.71055445,-79.3935558,"95 Broadway Avenue, Toronto",Condo,Under Construction,0,34,0
U of T: Centre for Civilizations and Cultures,43.667122,-79.393587,"90 Queen's Park, Toronto",Institutional,Pre-Construction,0,9,0
150 Redpath Condominiums,43.7087675,-79.39365285,"150 Redpath Avenue, Toronto",Condo,Under Construction,"Fall, 2018",38,434
100 Broadway,43.710705,-79.393738,"100 Broadway Avenue, Toronto","Rental, Retail",Pre-Construction,0,36,370
King Charlotte,43.646386,-79.3937681,"11 Charlotte St., Toronto",Condo,Under Construction,0,32,0
King East Centre,43.646386,-79.3937681,"333-351 King Street East, Toronto","Office, Retail",Pre-Construction,0,25,0
36Hazelton,43.67190665,-79.39379039,"36 Hazelton Ave., Toronto",Condo,Under Construction,2014,7,0
49 Spadina Avenue,43.643447,-79.3938024,"49 Spadina Avenue, Toronto","Office, Retail",Pre-Construction,0,20,0
1421 Yonge ,43.68769633,-79.39382158,"1421 Yonge Street, Toronto","Condo, Office, Retail",Pre-Construction,0,34,0
181 Davenport,43.6749283,-79.39386837,"181 Davenport Rd, Toronto",Condo,Complete,0,12,140
Charlie Condos,43.6458975,-79.3938836,"430 King Street West, Toronto","Condo, Retail",Complete,"Late, 2012",36,403
Lillian Park,43.7060398,-79.39420611,"45 Dunfield Av, Toronto","Public Space, Rental",Under Construction,2019,28,278
46 Charlotte,43.646917,-79.394207,"46 Charlotte Street, Toronto","Office, Rental, Retail",Pre-Construction,0,41,467
135 Yorkville,43.6703597,-79.394237,"135 Yorkville Ave, Toronto","Office, Retail",Complete,2017,11,0
U of T: Jackman Law Building Expansion,43.66576765,-79.39431205,"78 Queens Park Cres, Toronto ",Institutional,Complete,2016,3,0
Cumberland at Yorkville Plaza,43.669716,-79.394366,"180 Cumberland Street, Toronto","Condo, Retail",Under Construction,0,40,410
"Pinnacle on Adelaide, The",43.6472852,-79.39437317,"295 Adelaide Street West, Toronto","Condo, Public Space, Retail",Complete,2014,46,474
Broadway + Redpath,43.71034719,-79.39438466,"85 Broadway, Toronto",Rental,Pre-Construction,0,37,404
Broadway + Redpath,43.71034719,-79.39438466,"85 Broadway, Toronto",Rental,Pre-Construction,0,37,404
CityPlace: Canoe Landing Community Centre & Schools,43.6401408,-79.3943984,"20 Brunel Ct., Toronto","Institutional, Public Space",Under Construction,"Fall, 2019",3,0
CityPlace: Canoe Landing Community Centre & Schools,43.6401408,-79.3943984,"20 Brunel Ct., Toronto","Institutional, Public Space",Under Construction,"Fall, 2019",3,0
CityPlace: Canoe Landing Community Centre & Schools,43.6401408,-79.3943984,"20 Brunel Ct., Toronto","Institutional, Public Space",Under Construction,"Fall, 2019",3,0
75 Broadway Avenue,43.7099581,-79.39451466,"75 Broadway Avenue, Toronto",Rental,Pre-Construction,0,38,0
"Taylor, The",43.64479175,-79.3945225,"57 Spadina Ave, Toronto","Office, Rental, Residential, Retail",Under Construction,0,36,397
"Taylor, The",43.64479175,-79.3945225,"57 Spadina Ave, Toronto","Office, Rental, Residential, Retail",Under Construction,0,36,397
33 Avenue Road,43.6706293,-79.3945879,"33 Avenue Road, Toronto","Condo, Retail",Pre-Construction,0,29,0
133 Hazelton,43.674986,-79.394654,"133 Hazelton, Toronto",Condo,Under Construction,2014,9,118
One Delisle,43.688906,-79.394664,"1 Delisle Av, Toronto","Condo, Retail",Pre-Construction,0,48,0
Luna at Concord CityPlace,43.640541,-79.394839,"8 Telegram Mews, Toronto",Condo,Complete,"April, 2010",38,0
336 Queen Street West,43.64917492,-79.39489803,"336 Queen St W, Toronto","Office, Retail",Pre-Construction,0,4,52
Yorkville Village (was Hazelton Lanes),43.671154,-79.394998,"55 Avenue Road, Toronto",Retail,Pre-Construction,0,0,0
"Madison, The",43.707252,-79.3950342,"101 Eglinton Av E, Toronto","Condo, Retail",Under Construction,2015,33,397
Maestria,43.707252,-79.3950342,"Sainte-Catherine St W and Jeanne Mance St, Montreal","Condo, Rental, Residential, Retail",Pre-Construction,0,51,0
30 Merton Street ,43.696453,-79.395056,"30 Merton Street, Toronto","Rental, Residential",Pre-Construction,0,37,0
89 Avenue Road,43.6723809,-79.39511157,"89 Avenue Road, Toronto","Condo, Hotel",Pre-Construction,0,28,0
101 Spadina Avenue ,43.6463744,-79.3951517,"101 Spadina Avenue, Toronto ","Office, Residential, Retail",Pre-Construction,0,47,0
MYC Merton Yonge Condominiums,43.6961661,-79.3951943,"1815 Yonge Street, Toronto",Condo,Under Construction,2013,24,0
